,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,5,3,-0.12767815838921936,-0.2178786924659806,1,3,3,0,4,0,5,2,2,0,5,6,4,1.0462575960103884,0.896832928430717,1,1,12,1,0.525201887620202,2,4,2,2,3,4,2,0.5809068529658773,6,-0.2931300124474908,-0.9348625359462207,-0.9348625359462207,1,0,1,4,-0.7738610250965184,1.2073785497461735,-0.10119701650206231,0.4135472163019127,-0.9348625359462207,-0.9348625359462207,0.7813658143509358,1.2325988725051025,0.16992708860002484,-0.20769847452544338,107,0.986849366836289,107,-0.9243112113157019,1,0.9892892583653186,1,0.3065277888545269,0.34889966274824835,4,4,2,-0.7407604083206012,0.20000600898329907,-0.3596007501322808,-0.10333053085137019,-0.28593545802354126,-0.06315017346937592,-0.08959195989676072,-1.5521835341880752,0.15764552917621685,8,4,208500.0
1,0,3,0.5671252426885797,-0.07204408274559655,1,3,3,0,2,0,24,1,2,0,2,5,7,0.15476400268786517,-0.39560419033923755,1,1,8,2,-0.5722502445815958,3,4,1,2,3,1,0,1.1781122200432832,6,-0.2931300124474908,-0.6298964037728167,-0.6298964037728167,1,0,1,4,0.26107477608525587,-0.7850250438866518,-0.10119701650206231,-0.4718906513878417,-0.6298964037728167,-0.6298964037728167,0.7813658143509358,-0.7563210328804112,0.16992708860002484,-0.20769847452544338,230,-0.28775828882527155,230,0.6236316606467388,1,-0.009389580649256239,1,0.3065277888545269,-0.05979245369921088,4,4,2,1.6148793004689124,-0.7028427666170877,-0.3596007501322808,-0.10333053085137019,-0.28593545802354126,-0.06315017346937592,-0.08959195989676072,-0.4469248572580886,-0.6029615777083905,8,4,181500.0
2,5,3,0.011282521826340446,0.1371968790271284,1,0,3,0,4,0,5,2,2,0,5,6,4,0.9802210335420534,0.8489648869947928,1,1,12,1,0.33482753815662486,2,4,2,2,3,2,2,0.09787310018268149,6,-0.2931300124474908,-0.28851640507124515,-0.28851640507124515,1,0,1,4,-0.6107184357476674,1.2353748531695856,-0.10119701650206231,0.5637554259992817,-0.28851640507124515,-0.28851640507124515,0.7813658143509358,1.2325988725051025,0.16992708860002484,-0.20769847452544338,366,-0.28775828882527155,366,0.6236316606467388,1,0.9153130480679427,1,0.3065277888545269,0.6275533785078796,4,4,2,-0.7407604083206012,-0.08120918341682137,-0.3596007501322808,-0.10333053085137019,-0.28593545802354126,-0.06315017346937592,-0.08959195989676072,1.0267533786485603,0.15764552917621685,8,4,223500.0
3,6,3,-0.359279292081819,-0.07838471795083064,1,0,3,0,0,0,6,2,2,0,5,6,4,-1.859351152596354,-0.682812438954783,1,1,13,2,-0.5722502445815958,3,4,0,3,1,4,0,-0.4949410509603316,6,-0.2931300124474908,-0.04727453932213459,-0.04727453932213459,1,2,1,4,-0.5062052144460596,0.9787420717883084,-0.10119701650206231,0.4273821829845651,-0.04727453932213459,-0.04727453932213459,-1.0273628233099534,-0.7563210328804112,0.16992708860002484,-0.20769847452544338,462,0.3495455390055087,462,0.6236316606467388,5,0.8043487326218788,2,1.6199611043868447,0.7854571507716707,4,4,2,-0.7407604083206012,-0.18481478061686574,3.8749668872227674,-0.10333053085137019,-0.28593545802354126,-0.06315017346937592,-0.08959195989676072,-1.5521835341880752,-1.3635686845929977,8,0,140000.0
4,5,3,0.7524061496426594,0.5189031183822206,1,0,3,0,2,0,15,2,2,0,5,7,4,0.9472027523078859,0.7532288041229442,1,1,12,1,1.3874857057787575,2,4,2,2,3,0,2,0.46893084663886375,6,-0.2931300124474908,-0.16106787222265845,-0.16106787222265845,1,0,1,4,-0.037170270068112604,1.6716505815177571,-0.10119701650206231,1.3780420364639665,-0.16106787222265845,-0.16106787222265845,0.7813658143509358,1.2325988725051025,1.3856554504222593,-0.20769847452544338,419,1.6241531946670693,419,0.6236316606467388,1,0.8783249429192548,1,1.6199611043868447,1.6864374983944785,4,4,2,0.7769671892887499,0.5404243997834449,-0.3596007501322808,-0.10333053085137019,-0.28593545802354126,-0.06315017346937592,-0.08959195989676072,2.132012055578547,0.15764552917621685,8,4,250000.0
5,4,3,0.7987263763811794,0.5005152762870417,1,0,3,0,4,0,11,2,2,0,0,4,4,0.7160747836687131,0.513888596943323,1,1,12,2,-0.5722502445815958,3,4,5,2,3,4,2,0.6379926601129823,6,-0.2931300124474908,-1.1305870685351218,-1.1305870685351218,1,0,1,4,-0.9268072026110664,0.535467267584284,-0.10119701650206231,-0.2742482702070929,-1.1305870685351218,-1.1305870685351218,-1.0273628233099534,1.2325988725051025,-2.2615296350444445,-0.20769847452544338,36,-0.9250621166560519,36,-0.9243112113157019,1,0.619408206878439,2,0.3065277888545269,0.03309211822066622,4,4,2,-0.42456715881865303,-0.25881877861689745,-0.3596007501322808,12.603223215547768,-0.28593545802354126,-0.06315017346937592,1.14431217701962,1.3951729376252227,0.9182526360608242,8,4,143000.0
6,0,3,0.33552410899598,-0.01066673395893057,1,3,3,0,4,0,21,2,2,0,2,7,4,1.0792758772445559,0.9925690113025655,1,1,12,3,0.4692094318956205,2,4,2,0,3,0,2,2.036594935217054,6,-0.2931300124474908,-0.554792804058471,-0.554792804058471,1,0,1,4,1.362287254190001,-0.7850250438866518,-0.10119701650206231,0.3819244353129929,-0.554792804058471,-0.554792804058471,0.7813658143509358,-0.7563210328804112,0.16992708860002484,-0.20769847452544338,261,0.3495455390055087,261,0.6236316606467388,1,1.0262773635140066,1,0.3065277888545269,0.7575917791957076,4,4,2,1.274971557254318,0.1408028105832737,-0.3596007501322808,-0.10333053085137019,-0.28593545802354126,-0.06315017346937592,-0.08959195989676072,0.6583338196718981,-0.6029615777083905,8,4,307000.0
7,5,3,-0.359279292081819,0.027123451864264604,1,0,3,0,0,0,14,4,2,0,5,6,5,0.05570915898536259,-0.5392083146470102,1,1,6,3,0.7715686928083607,3,4,1,2,3,2,0,0.9168348719469182,1,-0.10394616631498621,-0.7846553365175293,-0.7846553365175293,1,0,1,4,-0.13403618249399296,1.5083388115478533,-0.10119701650206231,1.164588264788758,-0.7846553365175293,-0.7846553365175293,0.7813658143509358,1.2325988725051025,0.16992708860002484,-0.20769847452544338,165,0.3495455390055087,165,2.1715745326091795,1,-0.12035389609532011,1,0.3065277888545269,0.05166903260464164,4,4,2,1.116874932503344,2.3165203517842055,3.189963298827098,-0.10333053085137019,-0.28593545802354126,-0.06315017346937592,0.5273601085614298,1.7635924966018848,0.9182526360608242,8,4,200000.0
8,4,4,-0.7761613327284985,-0.5133522930298892,1,3,3,0,4,0,17,0,2,0,0,6,4,-1.3310586528496735,-1.6401732676732679,1,1,3,2,-0.5722502445815958,3,4,0,3,3,4,6,-0.969192371874742,6,-0.2931300124474908,0.8903825237781821,0.8903825237781821,1,2,1,1,-0.35070993397293587,0.969409970647171,-0.10119701650206231,0.5400383402575919,0.8903825237781821,0.8903825237781821,0.7813658143509358,-0.7563210328804112,-1.0458012732222097,4.455931118857386,780,0.986849366836289,780,2.1715745326091795,5,-1.6738543123402143,2,0.3065277888545269,-0.02263862493126004,1,4,2,-0.029325596941217873,-0.7028427666170877,2.831893241256634,-0.10333053085137019,-0.28593545802354126,-0.06315017346937592,-0.08959195989676072,-0.8153444162347508,0.15764552917621685,8,0,129900.0
9,15,3,-0.8224815594670184,-0.34849577769380286,1,3,3,0,0,0,3,0,0,1,1,4,5,-1.0669124029763333,-1.6401732676732679,1,1,8,2,-0.5722502445815958,3,4,0,3,3,4,2,0.8992700082093473,6,-0.2931300124474908,-0.9576212025263255,-0.9576212025263255,1,0,1,4,-0.21050927125126692,-0.7850250438866518,-0.10119701650206231,-0.8375290565722269,-0.9576212025263255,-0.9576212025263255,-1.0273628233099534,-0.7563210328804112,-1.0458012732222097,4.455931118857386,99,-0.9250621166560519,99,2.1715745326091795,1,-1.3779494711507108,1,-1.0069055266777909,-1.2440707456776439,2,4,2,-0.7407604083206012,-0.6436395682170623,-0.3596007501322808,-0.10333053085137019,-0.28593545802354126,-0.06315017346937592,-0.08959195989676072,-1.9206030931647375,0.15764552917621685,8,4,118000.0
